gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
991806949	77ecd330-b09e-11e2-a01d-00145eb45e9a	eec60489-3898-4086-bef7-d719e2b8a939	Animalia	Arthropoda	Insecta	Diptera	Asilidae	Laphria	Laphria gibbosa		SPECIES	Laphria gibbosa (Linnaeus, 1758)	Laphria gibbosa		DE	Daubitz, Waldrand Nähe Schloss Niederspree		PRESENT		c76cf030-2a95-11da-9cc1-b8a03c50a862	51.400914	14.869856	5000.0						2013-09-06	6	9	2013	4515211	4515211	HUMAN_OBSERVATION	NABU Sachsen AK Entomologie	Insekten Sachsen	eec60489-3898-4086-bef7-d719e2b8a939				CC_BY_4_0		Wolf-Harald Liebig;Wolf-Harald Liebig			2025-01-03T22:22:34.547Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
932342332	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:16088745	Animalia	Arthropoda	Insecta	Diptera	Asilidae	Laphria	Laphria gibbosa		SPECIES	Laphria gibbosa (Linnaeus, 1758)	Laphria gibbosa	(Linnaeus, 1758)	SE	Dumme mosse, Sm	Småland	PRESENT	1	b8323864-602a-4a7d-9127-bb903054e97d	57.7489	14.05458	2000.0						2014-07-09T12:00	9	7	2014	4515211	4515211	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	16088745				CC0_1_0	Bengt Edqvist	Bengt Edqvist			2024-12-28T20:32:37.985Z	StillImage	TAXON_MATCH_TAXON_ID_IGNORED
932126498	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:16015175	Animalia	Arthropoda	Insecta	Diptera	Asilidae	Laphria	Laphria gibbosa		SPECIES	Laphria gibbosa (Linnaeus, 1758)	Laphria gibbosa	(Linnaeus, 1758)	SE	Kraftledningsgata, Kärrvägen, Vstm	Västmanland	PRESENT	1	b8323864-602a-4a7d-9127-bb903054e97d	60.05997	16.31968	200.0						2014-06-21	21	6	2014	4515211	4515211	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	16015175				CC0_1_0	Petter Andersson	Petter Andersson			2024-12-28T20:42:31.914Z	StillImage	TAXON_MATCH_TAXON_ID_IGNORED
932112760	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:16011597	Animalia	Arthropoda	Insecta	Diptera	Asilidae	Laphria	Laphria gibbosa		SPECIES	Laphria gibbosa (Linnaeus, 1758)	Laphria gibbosa	(Linnaeus, 1758)	SE	Bergshyttan, vägkant, Vstm	Västmanland	PRESENT	1	b8323864-602a-4a7d-9127-bb903054e97d	59.67529	15.41949	100.0						2014-06-12	12	6	2014	4515211	4515211	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	16011597				CC0_1_0	Lars Bergendorf	Lars Bergendorf, Bengt Hertzman			2024-12-28T20:43:48.957Z	StillImage	TAXON_MATCH_TAXON_ID_IGNORED
932057431	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:15987985	Animalia	Arthropoda	Insecta	Diptera	Asilidae	Laphria	Laphria gibbosa		SPECIES	Laphria gibbosa (Linnaeus, 1758)	Laphria gibbosa	(Linnaeus, 1758)	SE	Lövbränna S Lilla Råsgöl, Sm	Småland	PRESENT	1	b8323864-602a-4a7d-9127-bb903054e97d	56.97302	16.06861	50.0						2014-06-15	15	6	2014	4515211	4515211	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	15987985				CC0_1_0	Pav Johnsson	Pav Johnsson			2024-12-28T20:31:48.589Z		TAXON_MATCH_TAXON_ID_IGNORED
932008463	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:15968096	Animalia	Arthropoda	Insecta	Diptera	Asilidae	Laphria	Laphria gibbosa		SPECIES	Laphria gibbosa (Linnaeus, 1758)	Laphria gibbosa	(Linnaeus, 1758)	SE	Lösing, Ög	Östergötland	PRESENT	1	b8323864-602a-4a7d-9127-bb903054e97d	58.73335	16.30168	200.0						2014-06-10	10	6	2014	4515211	4515211	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	15968096				CC0_1_0	Lennart Sundh	Lennart Sundh			2024-12-28T20:44:15.576Z	StillImage	TAXON_MATCH_TAXON_ID_IGNORED
866286860	d5312bc2-819b-11e2-bad2-00145eb45e9a		Animalia	Arthropoda	Insecta	Diptera	Asilidae	Laphria	Laphria gibbosa		SPECIES	Laphria gibbosa (Linnaeus, 1758)	Laphria gibbosa (LINNAEUS, 1758)		DE	Erlangen, Geisbergstrasse		PRESENT		399f50f1-05cd-4f8f-aa42-4b27f9d8a047	49.608889	10.976111											4515211	4515211	HUMAN_OBSERVATION	Asilweb	Atlas der Raubfliegen Deutschlands	25113		Gerhard Bittner		CC_BY_4_0					2024-01-25T00:53:48.063Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
812707730	d5312bc2-819b-11e2-bad2-00145eb45e9a		Animalia	Arthropoda	Insecta	Diptera	Asilidae	Laphria	Laphria gibbosa		SPECIES	Laphria gibbosa (Linnaeus, 1758)	Laphria gibbosa (LINNAEUS, 1758)		DE	Neusorge, Neusorge (Haehnichen), Kiefernwald zwischen Neusorge und Haehnichen, ehem. Trasse		PRESENT		399f50f1-05cd-4f8f-aa42-4b27f9d8a047	51.378056	14.914444											4515211	4515211	HUMAN_OBSERVATION	Asilweb	Atlas der Raubfliegen Deutschlands	22951		Tommy Kästner		CC_BY_4_0					2024-01-25T00:53:47.631Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
812707670	d5312bc2-819b-11e2-bad2-00145eb45e9a		Animalia	Arthropoda	Insecta	Diptera	Asilidae	Laphria	Laphria gibbosa		SPECIES	Laphria gibbosa (Linnaeus, 1758)	Laphria gibbosa (LINNAEUS, 1758)		DE	Rietschen, Waldrand westlich Heidehaeuser		PRESENT		399f50f1-05cd-4f8f-aa42-4b27f9d8a047	51.412222	14.800556											4515211	4515211	HUMAN_OBSERVATION	Asilweb	Atlas der Raubfliegen Deutschlands	22705		Tommy Kästner		CC_BY_4_0					2024-01-25T00:53:47.137Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
768666655	d5312bc2-819b-11e2-bad2-00145eb45e9a		Animalia	Arthropoda	Insecta	Diptera	Asilidae	Laphria	Laphria gibbosa		SPECIES	Laphria gibbosa (Linnaeus, 1758)	Laphria gibbosa (LINNAEUS, 1758)		DE	Grosshennersdorf		PRESENT		399f50f1-05cd-4f8f-aa42-4b27f9d8a047	50.948809	14.748196											4515211	4515211	HUMAN_OBSERVATION	Asilweb	Atlas der Raubfliegen Deutschlands	20969				CC_BY_4_0					2024-01-25T00:53:49.093Z		CONTINENT_DERIVED_FROM_COORDINATES
